,SP,RJ,MG,RS,PR,SC,BA,DF,ES,GO,PE,CE,PA,MT,MA,MS,PB,PI,RN,AL,SE,TO,RO,AM,AC,AP,RR
PE,2124.02925834542,1869.6044626744792,1636.788224209795,2959.3599631807288,2514.9886990264126,2585.4336224549065,682.9789460029749,1654.446367280958,1475.997507458595,1823.9021442337148,0.0,623.002143092836,1669.591670953834,2440.751981771931,1201.8579598037522,2523.1352388748905,106.85790662763618,925.40667195077,251.70390728437377,193.8661355274695,393.05510493868,1487.09596170146,3163.266797443571,2827.375678716578,3615.527920996671,2001.6506839777137,3100.707406792157
CE,2359.1854043617755,2181.29447720139,1886.339711947158,3191.5367101046722,2704.3743390038144,2822.3402317652058,1017.7675741316046,1684.1842578157393,1844.4343424358924,1847.9190981132033,623.002143092836,0.0,1129.540292404943,2316.068922766927,648.1267918188312,2540.279925290757,550.2832493431957,485.8401934594289,433.2517867473557,719.8283247347454,810.3070469113177,1289.197238640585,2853.436280097518,2379.881614893806,3298.889903689067,1451.775932981631,2563.9443616424032
PA,2460.8821904823785,2449.8474521791245,2111.820743090957,3175.3196279547747,2668.8189501642487,2857.5844549862504,1667.1368873549125,1598.6040230154422,2275.7370103303506,1697.05248109777,1669.591670953834,1129.540292404943,0.0,1775.3753710626233,481.65419732784875,2218.8032325346167,1631.7190607821872,751.7103757077663,1546.292845163907,1675.1010690376283,1642.0890277539693,972.9649673389899,1927.5778262887077,1294.6661178494783,2339.678018669558,332.4616871681841,1437.6096556644716
MT,1320.2123136235236,1571.6278566167184,1367.8158060386663,1667.9414466215103,1250.1985278851314,1479.9700956121908,1885.8059602567514,867.9370008416552,1745.843441124068,736.8452003167632,2440.751981771931,2316.068922766927,1775.3753710626233,0.0,1936.7297760594204,568.74595236425,2487.5897015084574,1860.481603586899,2514.1352760833474,2297.8032536318633,2117.162495760129,1027.8915823201082,1040.497900168232,1452.0542882399825,1419.2966575745359,1817.9760993592313,2105.940171679607
MA,2344.1914274210085,2263.082395757137,1931.1254741341481,3125.3751425010482,2617.125873064924,2779.2743826624887,1305.2611112724626,1527.7292519521525,2018.8729230032045,1662.7494712010919,1201.8579598037522,648.1267918188312,481.65419732784875,1936.7297760594204,0.0,2285.803466422575,1156.9924984999516,327.6850827623961,1066.164379105696,1227.4204114043912,1224.4728505166734,959.2934275128392,2294.4540833680608,1747.450791120516,2727.5797122033123,807.5612852182868,1918.2158300392884
MS,882.6591200198046,1203.990883769967,1111.0429731615668,1099.3238133285872,706.279122103013,934.2149517295951,1882.5265605155491,873.7735657992262,1489.5937609176185,703.8456578983502,2523.1352388748905,2540.279925290757,2218.8032325346167,568.74595236425,2285.803466422575,0.0,2590.6264275233048,2137.1240029179376,2648.804468238607,2353.04401430311,2154.1737819302675,1326.7716689812605,1527.607386075953,2020.4513424456834,1836.07427711004,2313.6260769135233,2674.614603151299
PB,2215.6238926673655,1967.4840567884205,1727.9190304172703,3052.5300964004095,2603.020942536287,2678.364384106971,773.6920954434446,1718.7960844507422,1577.1897971542035,1888.7738447453114,106.85790662763618,550.2832493431957,1631.7190607821872,2487.5897015084574,1156.9924984999516,2590.6264275233048,0.0,898.9908032968714,148.00635883866272,294.6758262056572,486.1035828924763,1515.01439728609,3181.4925710766265,2816.5514052882754,3633.528125379967,1962.3472538643389,3067.570620736074
PI,2091.516803852837,1979.8684959994864,1654.929488991113,2896.761940195426,2393.52466546421,2539.9453710925404,978.351386014085,1320.4238233270735,1711.9345402371232,1471.496680828623,925.40667195077,485.8401934594289,751.7103757077663,1860.481603586899,327.6850827623961,2137.1240029179376,898.9908032968714,0.0,836.3580318284608,923.4808487285245,902.6526487693721,835.3236978373837,2368.0596407658472,1925.236214957974,2814.292767775016,1083.8604304418802,2175.69145689623
RN,2316.027683249036,2080.8191994446456,1828.5901601122168,3154.875539636195,2696.128257626244,2780.646312769049,879.4881117362308,1775.0321097092417,1698.5087519364208,1945.018930226465,251.70390728437377,433.2517867473557,1546.292845163907,2514.1352760833474,1066.164379105696,2648.804468238607,148.00635883866272,836.3580318284608,0.0,425.63037710115987,600.676779809287,1518.9066953988133,3164.9916356489452,2761.5931634577655,3615.910448969468,1873.7032921457835,2983.8665864082436
AL,1932.0514837382282,1675.7399332082653,1445.2500623793767,2766.522124767073,2325.0435632017097,2392.734873739569,493.3098243872102,1490.2776271329915,1282.873117667484,1658.4755690067368,193.8661355274695,719.8283247347454,1675.1010690376283,2297.8032536318633,1227.4204114043912,2353.04401430311,294.6758262056572,923.4808487285245,425.63037710115987,0.0,203.85399732905663,1378.2103213437342,3061.607529048634,2775.68207704524,3513.2381917705857,2007.0008995622788,3088.9244681212253
SE,1731.110747260365,1482.3495464503576,1243.7666111321519,2567.0450445971624,2122.244655529924,2192.986989826618,290.0994445024015,1296.035886172752,1097.9879546929394,1463.0481450054524,393.05510493868,810.3070469113177,1642.0890277539693,2117.162495760129,1224.4728505166734,2154.1737819302675,486.1035828924763,902.6526487693721,600.676779809287,203.85399732905663,0.0,1232.7781138766757,2913.5897589833294,2675.2761858700374,3363.672347787663,1969.741781842345,3026.8202307540414
TO,1490.6463616541585,1510.9198361843673,1177.7918934443078,2209.7399504222076,1701.2432445067225,1885.5472872337473,1085.7671450181158,626.0573476602509,1413.3636966868546,729.0765100111769,1487.09596170146,1289.197238640585,972.9649673389899,1027.8915823201082,959.2934275128392,1326.7716689812605,1515.01439728609,835.3236978373837,1518.9066953988133,1378.2103213437342,1232.7781138766757,0.0,1683.5963063357033,1512.5574359571972,2135.0574896400835,1177.6086816330373,1991.8633612506858
RO,2356.0187912463907,2611.209305135413,2391.1725846315526,2572.0643349381035,2233.4692730824067,2460.0399635213894,2738.170343217705,1828.5837460704563,2759.304043284057,1734.5653064485332,3163.266797443571,2853.436280097518,1927.5778262887077,1040.497900168232,2294.4540833680608,1527.607386075953,3181.4925710766265,2368.0596407658472,3164.9916356489452,3061.607529048634,2913.5897589833294,1683.5963063357033,0.0,859.5149422499709,452.26133852863063,1781.1175526063294,1453.381728803485
AM,2684.5087220971736,2847.1519811673634,2555.4146984164263,3119.770096515185,2691.2098572674486,2919.324327064564,2580.7996826816407,1934.7797976788524,2866.946173954323,1914.8399719522745,2827.375678716578,2379.881614893806,1294.6661178494783,1452.0542882399825,1747.450791120516,2020.4513424456834,2816.5514052882754,1925.236214957974,2761.5931634577655,2775.68207704524,2675.2761858700374,1512.5574359571972,859.5149422499709,0.0,1153.1668240362364,1052.6614039557935,661.7641775152878
AC,2701.507102525919,2982.248900286251,2786.686373193574,2805.6489591213685,2527.3528311353607,2746.0676938140346,3183.4024503820833,2248.8969171555214,3162.5025628516296,2142.0649389143337,3615.527920996671,3298.889903689067,2339.678018669558,1419.2966575745359,2727.5797122033123,1836.07427711004,3633.528125379967,2814.292767775016,3615.910448969468,3513.2381917705857,3363.672347787663,2135.0574896400835,452.26133852863063,1153.1668240362364,0.0,2162.0416547218647,1627.6919699060386
AP,2660.6673108020887,2685.74515935237,2350.0076868923074,3326.965235580039,2828.586542712231,3030.0310098219584,1981.3605387185999,1795.4670145805364,2545.9464588876162,1870.3991495961898,2001.6506839777137,1451.775932981631,332.4616871681841,1817.9760993592313,807.5612852182868,2313.6260769135233,1962.3472538643389,1083.8604304418802,1873.7032921457835,2007.0008995622788,1969.741781842345,1177.6086816330373,1781.1175526063294,1052.6614039557935,2162.0416547218647,0.0,1112.25422201318
RR,3296.9575423168517,3427.7974430169334,3118.202535618972,3773.2912598283397,3333.2750132151614,3559.4960090302793,2988.528340740636,2500.911601097007,3397.8442790818362,2506.244169052474,3100.707406792157,2563.9443616424032,1437.6096556644716,2105.940171679607,1918.2158300392884,2674.614603151299,3067.570620736074,2175.69145689623,2983.8665864082436,3088.9244681212253,3026.8202307540414,1991.8633612506858,1453.381728803485,661.7641775152878,1627.6919699060386,1112.25422201318,0.0
